neighbourhood_group,room_type,minimum_nights,price
Brooklyn,Entire home/apt,30,130.0
Brooklyn,Entire home/apt,30,150.0
Brooklyn,Entire home/apt,30,119.0
Manhattan,Entire home/apt,30,177.0
Manhattan,Entire home/apt,30,124.0
Brooklyn,Entire home/apt,30,250.0
Manhattan,Private room,1,172.0
Manhattan,Private room,1,205.0
Manhattan,Private room,1,162.0
Manhattan,Private room,1,198.0
Queens,Entire home/apt,30,90.0
Manhattan,Entire home/apt,31,483.0
Manhattan,Entire home/apt,30,266.0
Brooklyn,Entire home/apt,30,105.0
Manhattan,Entire home/apt,59,130.0
Queens,Private room,30,55.0
Manhattan,Entire home/apt,59,110.0
Manhattan,Entire home/apt,30,110.0
Manhattan,Entire home/apt,30,105.0
Staten Island,Private room,30,85.0
Queens,Private room,719,55.0
Queens,Private room,719,55.0
Brooklyn,Entire home/apt,30,420.0
Manhattan,Entire home/apt,30,77.0
Queens,Entire home/apt,30,171.0
Queens,Entire home/apt,30,164.0
Queens,Entire home/apt,30,275.0
Manhattan,Entire home/apt,30,137.0
Bronx,Private room,30,54.0
Manhattan,Entire home/apt,31,230.0
Manhattan,Entire home/apt,31,483.0
Manhattan,Entire home/apt,30,300.0
Queens,Entire home/apt,30,235.0
Manhattan,Private room,30,108.0
Queens,Entire home/apt,30,145.0
Manhattan,Entire home/apt,30,200.0
Manhattan,Private room,30,89.0
Manhattan,Private room,30,160.0
Manhattan,Entire home/apt,30,300.0
Manhattan,Private room,30,84.0
Brooklyn,Private room,3,565.0
Manhattan,Private room,30,90.0
Manhattan,Entire home/apt,45,283.0
Manhattan,Private room,30,100.0
Brooklyn,Entire home/apt,30,170.0
Brooklyn,Entire home/apt,30,105.0
Queens,Private room,30,50.0
Staten Island,Entire home/apt,30,121.0
Manhattan,Entire home/apt,3,741.0
Manhattan,Entire home/apt,30,220.0
Queens,Private room,30,63.0
Manhattan,Entire home/apt,30,94.0
Queens,Entire home/apt,30,304.0
Manhattan,Entire home/apt,30,272.0
Brooklyn,Entire home/apt,30,390.0
Brooklyn,Entire home/apt,30,275.0
Brooklyn,Entire home/apt,30,85.0
Manhattan,Entire home/apt,30,271.0
Manhattan,Private room,30,104.0
Queens,Private room,30,72.0
Queens,Private room,30,85.0
Bronx,Private room,30,65.0
Brooklyn,Entire home/apt,30,171.0
Manhattan,Entire home/apt,59,165.0
Queens,Entire home/apt,30,115.0
Manhattan,Entire home/apt,30,182.0
Manhattan,Entire home/apt,31,330.0
Manhattan,Private room,30,105.0
Manhattan,Entire home/apt,31,376.0
Brooklyn,Private room,30,105.0
Bronx,Private room,30,88.0
Brooklyn,Private room,30,114.0
Queens,Private room,30,52.0
Queens,Private room,30,91.0
Manhattan,Entire home/apt,30,150.0
Queens,Private room,30,80.0
Queens,Entire home/apt,30,238.0
Manhattan,Private room,30,82.0
Queens,Entire home/apt,30,60.0
Brooklyn,Private room,1,143.0
Queens,Private room,30,120.0
Bronx,Private room,2,74.0
Manhattan,Entire home/apt,30,151.0
Queens,Private room,30,92.0
Manhattan,Entire home/apt,30,115.0
Manhattan,Entire home/apt,30,104.0
Bronx,Entire home/apt,30,307.0
Brooklyn,Entire home/apt,30,160.0
Manhattan,Entire home/apt,30,107.0
Manhattan,Entire home/apt,30,250.0
Queens,Private room,30,100.0
Queens,Entire home/apt,31,437.0
Brooklyn,Entire home/apt,30,155.0
Brooklyn,Entire home/apt,30,284.0
Brooklyn,Private room,30,86.0
Brooklyn,Entire home/apt,2,234.0
Manhattan,Entire home/apt,31,372.0
Queens,Private room,30,65.0
Queens,Private room,30,60.0
Brooklyn,Entire home/apt,30,126.0
Queens,Hotel room,1,214.0
Manhattan,Entire home/apt,1,444.0
Brooklyn,Entire home/apt,30,69.0
Brooklyn,Entire home/apt,30,150.0
Manhattan,Private room,30,225.0
Bronx,Private room,30,65.0
Brooklyn,Private room,2,77.0
Queens,Private room,30,80.0
Queens,Entire home/apt,30,85.0
Brooklyn,Private room,30,64.0
Manhattan,Entire home/apt,60,115.0
Manhattan,Entire home/apt,30,124.0
Manhattan,Entire home/apt,30,124.0
Manhattan,Entire home/apt,30,179.0
Manhattan,Entire home/apt,30,135.0
Bronx,Private room,3,84.0
Manhattan,Private room,30,114.0
Manhattan,Entire home/apt,30,204.0
Manhattan,Entire home/apt,30,179.0
Manhattan,Entire home/apt,30,164.0
Manhattan,Entire home/apt,30,70.0
Manhattan,Private room,1,107.0
Brooklyn,Private room,30,130.0
Manhattan,Entire home/apt,31,640.0
Queens,Entire home/apt,30,123.0
Queens,Entire home/apt,30,115.0
Manhattan,Entire home/apt,30,437.0
Manhattan,Entire home/apt,30,360.0
Manhattan,Entire home/apt,30,129.0
Manhattan,Entire home/apt,30,450.0
Brooklyn,Entire home/apt,30,650.0
Brooklyn,Private room,30,63.0
Manhattan,Entire home/apt,2,158.0
Manhattan,Entire home/apt,30,105.0
Queens,Entire home/apt,30,147.0
Brooklyn,Private room,2,98.0
Brooklyn,Private room,4,62.0
Queens,Entire home/apt,30,216.0
Brooklyn,Private room,2,92.0
Manhattan,Entire home/apt,30,229.0
Brooklyn,Private room,30,239.0
Brooklyn,Private room,30,75.0
Brooklyn,Entire home/apt,30,135.0
Brooklyn,Private room,30,112.0
Manhattan,Entire home/apt,30,137.0
Manhattan,Entire home/apt,30,137.0
Bronx,Entire home/apt,30,160.0
Brooklyn,Private room,1,166.0
Manhattan,Private room,30,88.0
Manhattan,Entire home/apt,30,201.0
Brooklyn,Entire home/apt,30,200.0
Bronx,Private room,30,90.0
Queens,Private room,30,51.0
Bronx,Private room,30,57.0
Brooklyn,Entire home/apt,30,270.0
Brooklyn,Entire home/apt,30,150.0
Brooklyn,Entire home/apt,3,311.0
Brooklyn,Private room,30,53.0
Brooklyn,Private room,30,53.0
Manhattan,Entire home/apt,31,378.0
Brooklyn,Private room,1,102.0
Manhattan,Entire home/apt,30,113.0
Brooklyn,Private room,30,96.0
Queens,Private room,30,60.0
Brooklyn,Entire home/apt,30,195.0
Bronx,Private room,30,68.0
Brooklyn,Entire home/apt,30,238.0
Manhattan,Entire home/apt,30,151.0
Manhattan,Entire home/apt,30,206.0
Manhattan,Entire home/apt,30,164.0
Manhattan,Entire home/apt,30,179.0
Manhattan,Entire home/apt,30,137.0
Manhattan,Entire home/apt,30,109.0
Brooklyn,Entire home/apt,30,62.0
Staten Island,Entire home/apt,30,81.0
Queens,Private room,30,79.0
Brooklyn,Entire home/apt,30,170.0
Brooklyn,Entire home/apt,2,119.0
Manhattan,Entire home/apt,30,219.0
Manhattan,Entire home/apt,1,301.0
Brooklyn,Entire home/apt,30,198.0
Manhattan,Entire home/apt,60,150.0
Brooklyn,Private room,30,83.0
Staten Island,Entire home/apt,30,159.0
Manhattan,Entire home/apt,30,200.0
Bronx,Entire home/apt,30,110.0
Brooklyn,Entire home/apt,30,180.0
Brooklyn,Private room,30,90.0
Queens,Entire home/apt,30,119.0
Queens,Private room,30,96.0
Brooklyn,Entire home/apt,30,143.0
Brooklyn,Private room,3,125.0
Brooklyn,Private room,30,83.0
Brooklyn,Entire home/apt,30,285.0
Queens,Private room,31,67.0
Brooklyn,Private room,1,140.0
Queens,Private room,30,78.0
Brooklyn,Private room,1,140.0
Brooklyn,Entire home/apt,30,148.0
Queens,Entire home/apt,30,359.0
Queens,Entire home/apt,30,97.0
Queens,Entire home/apt,30,105.0
Brooklyn,Entire home/apt,30,131.0
Brooklyn,Private room,30,85.0
Manhattan,Entire home/apt,30,524.0
Queens,Private room,30,138.0
Manhattan,Entire home/apt,30,415.0
Bronx,Private room,30,62.0
Bronx,Private room,3,59.0
Queens,Private room,30,63.0
Queens,Entire home/apt,30,194.0
Manhattan,Private room,30,99.0
Brooklyn,Entire home/apt,2,407.0
Manhattan,Private room,30,82.0
Manhattan,Entire home/apt,1,189.0
Manhattan,Private room,30,92.0
Brooklyn,Private room,30,56.0
Brooklyn,Entire home/apt,30,206.0
Manhattan,Private room,30,100.0
Brooklyn,Private room,1,291.0
Manhattan,Private room,30,89.0
Manhattan,Entire home/apt,6,729.0
Queens,Entire home/apt,30,128.0
Manhattan,Entire home/apt,1,322.0
Manhattan,Entire home/apt,30,160.0
Manhattan,Hotel room,30,303.0
Manhattan,Hotel room,30,303.0
Manhattan,Hotel room,30,298.0
Manhattan,Hotel room,30,279.0
Manhattan,Hotel room,30,229.0
Queens,Entire home/apt,2,209.0
Bronx,Entire home/apt,30,113.0
Queens,Private room,30,87.0
Brooklyn,Private room,90,75.0
Queens,Private room,30,76.0
Queens,Entire home/apt,30,110.0
Queens,Private room,1,63.0
Brooklyn,Entire home/apt,30,227.0
Brooklyn,Entire home/apt,2,423.0
Manhattan,Private room,30,77.0
Manhattan,Entire home/apt,30,102.0
Manhattan,Private room,4,361.0
Manhattan,Entire home/apt,2,385.0
Staten Island,Private room,30,57.0
Brooklyn,Private room,30,143.0
Staten Island,Private room,30,60.0
Bronx,Private room,30,69.0
Manhattan,Entire home/apt,30,127.0
Bronx,Private room,30,62.0
Manhattan,Entire home/apt,30,349.0
Manhattan,Entire home/apt,30,127.0
Manhattan,Entire home/apt,30,135.0
Manhattan,Entire home/apt,30,180.0
Brooklyn,Entire home/apt,30,253.0
Brooklyn,Entire home/apt,30,152.0
Brooklyn,Private room,30,90.0
Brooklyn,Private room,30,51.0
Staten Island,Entire home/apt,30,70.0
Manhattan,Private room,30,50.0
Manhattan,Hotel room,1,313.0
Manhattan,Hotel room,1,364.0
Manhattan,Hotel room,1,430.0
Manhattan,Hotel room,1,446.0
Manhattan,Entire home/apt,30,165.0
Manhattan,Entire home/apt,90,200.0
Manhattan,Entire home/apt,30,200.0
Brooklyn,Private room,4,172.0
Brooklyn,Entire home/apt,30,180.0
Brooklyn,Private room,30,116.0
Brooklyn,Entire home/apt,30,325.0
Brooklyn,Entire home/apt,30,158.0
Brooklyn,Private room,3,88.0
Brooklyn,Entire home/apt,30,240.0
Brooklyn,Entire home/apt,30,110.0
Manhattan,Private room,30,241.0
Brooklyn,Entire home/apt,30,528.0
Brooklyn,Entire home/apt,300,333.0
Brooklyn,Private room,30,65.0
Brooklyn,Entire home/apt,30,361.0
Queens,Entire home/apt,30,78.0
Manhattan,Entire home/apt,30,350.0
Brooklyn,Entire home/apt,30,150.0
Manhattan,Entire home/apt,30,105.0
Manhattan,Entire home/apt,30,155.0
Brooklyn,Entire home/apt,30,200.0
Queens,Private room,30,60.0
Manhattan,Entire home/apt,30,89.0
Manhattan,Entire home/apt,30,120.0
Manhattan,Entire home/apt,30,145.0
Manhattan,Entire home/apt,30,120.0
Manhattan,Entire home/apt,30,190.0
Manhattan,Entire home/apt,30,177.0
Manhattan,Entire home/apt,30,156.0
Manhattan,Private room,30,59.0
Manhattan,Private room,30,55.0
Queens,Private room,30,62.0
Manhattan,Entire home/apt,30,192.0
Queens,Private room,30,90.0
Brooklyn,Entire home/apt,30,199.0
Bronx,Private room,30,180.0
Manhattan,Private room,30,128.0
Brooklyn,Entire home/apt,30,128.0
Manhattan,Entire home/apt,180,360.0
Brooklyn,Entire home/apt,30,124.0
Brooklyn,Entire home/apt,30,350.0
Brooklyn,Entire home/apt,30,469.0
Brooklyn,Private room,30,62.0
Queens,Entire home/apt,30,212.0
Manhattan,Private room,30,109.0
Brooklyn,Entire home/apt,30,256.0
Queens,Entire home/apt,3,189.0
Manhattan,Entire home/apt,30,160.0
Manhattan,Entire home/apt,30,525.0
Brooklyn,Entire home/apt,4,250.0
Queens,Entire home/apt,30,156.0
Staten Island,Entire home/apt,30,850.0
Manhattan,Entire home/apt,30,333.0
Manhattan,Entire home/apt,30,160.0
Bronx,Private room,30,58.0
Queens,Private room,719,55.0
Brooklyn,Private room,30,53.0
Staten Island,Entire home/apt,30,135.0
Brooklyn,Private room,30,63.0
Manhattan,Entire home/apt,30,222.0
Brooklyn,Entire home/apt,30,274.0
Manhattan,Private room,2,225.0
Brooklyn,Entire home/apt,1,217.0
Brooklyn,Private room,30,135.0
Brooklyn,Entire home/apt,30,219.0
Brooklyn,Entire home/apt,30,243.0
Queens,Entire home/apt,30,389.0
Manhattan,Entire home/apt,59,125.0
Manhattan,Entire home/apt,31,569.0
Manhattan,Private room,2,188.0
Brooklyn,Entire home/apt,30,120.0
Manhattan,Entire home/apt,30,229.0
Manhattan,Private room,30,69.0
Brooklyn,Private room,2,181.0
Bronx,Entire home/apt,30,225.0
Manhattan,Entire home/apt,31,369.0
Brooklyn,Private room,30,67.0
Brooklyn,Private room,30,85.0
Queens,Entire home/apt,30,237.0
Queens,Entire home/apt,1,189.0
Brooklyn,Entire home/apt,30,215.0
Manhattan,Entire home/apt,30,124.0
Manhattan,Entire home/apt,30,136.0
Manhattan,Private room,30,270.0
Manhattan,Entire home/apt,30,299.0
Brooklyn,Private room,30,253.0
Manhattan,Entire home/apt,30,250.0
Manhattan,Private room,1,315.0
Brooklyn,Entire home/apt,30,71.0
Manhattan,Entire home/apt,31,496.0
Brooklyn,Private room,30,123.0
Queens,Private room,30,95.0
Brooklyn,Private room,30,95.0
Brooklyn,Private room,2,77.0
Manhattan,Entire home/apt,30,155.0
Queens,Private room,30,78.0
Manhattan,Entire home/apt,30,115.0
Queens,Private room,30,70.0
Queens,Entire home/apt,30,180.0
Brooklyn,Private room,30,81.0
Brooklyn,Private room,30,90.0
Brooklyn,Entire home/apt,30,112.0
Manhattan,Entire home/apt,30,500.0
Queens,Entire home/apt,30,115.0
Queens,Private room,30,110.0
Manhattan,Private room,3,485.0
Bronx,Entire home/apt,30,125.0
Manhattan,Entire home/apt,1,209.0
Brooklyn,Entire home/apt,30,295.0
Manhattan,Entire home/apt,30,295.0
Brooklyn,Entire home/apt,30,200.0
Manhattan,Private room,30,149.0
Manhattan,Entire home/apt,30,251.0
Bronx,Entire home/apt,30,88.0
Brooklyn,Entire home/apt,30,200.0
Brooklyn,Entire home/apt,5,385.0
Manhattan,Entire home/apt,30,253.0
Manhattan,Entire home/apt,30,181.0
Manhattan,Entire home/apt,30,248.0
Queens,Entire home/apt,30,99.0
Queens,Entire home/apt,3,201.0
Manhattan,Entire home/apt,30,105.0
Brooklyn,Private room,30,99.0
Brooklyn,Private room,1,96.0
Manhattan,Shared room,9,76.0
Brooklyn,Entire home/apt,30,340.0
Manhattan,Entire home/apt,31,298.0
Manhattan,Entire home/apt,30,256.0
Queens,Private room,30,76.0
Queens,Private room,30,86.0
Bronx,Entire home/apt,30,130.0
Manhattan,Entire home/apt,30,97.0
Manhattan,Entire home/apt,30,147.0
Bronx,Entire home/apt,30,121.0
Brooklyn,Private room,3,280.0
Manhattan,Private room,30,89.0
Queens,Private room,30,90.0
Brooklyn,Entire home/apt,30,187.0
Manhattan,Private room,1,600.0
Manhattan,Private room,1,805.0
Manhattan,Private room,1,149.0
Manhattan,Private room,1,161.0
Manhattan,Private room,1,165.0
Manhattan,Private room,1,188.0
Manhattan,Private room,1,174.0
Manhattan,Private room,1,201.0
Manhattan,Private room,1,330.0
Manhattan,Private room,1,204.0
Brooklyn,Entire home/apt,30,99.0
Brooklyn,Private room,31,80.0
Manhattan,Entire home/apt,30,350.0
Manhattan,Entire home/apt,31,461.0
Manhattan,Entire home/apt,31,352.0
Manhattan,Entire home/apt,31,570.0
Manhattan,Entire home/apt,30,107.0
Manhattan,Entire home/apt,30,156.0
Manhattan,Private room,30,100.0
Manhattan,Private room,30,109.0
Brooklyn,Private room,30,62.0
Brooklyn,Entire home/apt,4,159.0
Bronx,Private room,30,54.0
Staten Island,Private room,2,113.0
Brooklyn,Entire home/apt,145,85.0
Brooklyn,Entire home/apt,30,149.0
Manhattan,Entire home/apt,30,108.0
Manhattan,Private room,1,309.0
Manhattan,Private room,1,144.0
Manhattan,Private room,1,346.0
Manhattan,Private room,1,373.0
Manhattan,Private room,1,600.0
Manhattan,Entire home/apt,30,85.0
Manhattan,Private room,30,127.0
Manhattan,Entire home/apt,31,422.0
Manhattan,Private room,30,75.0
Brooklyn,Private room,30,158.0
Manhattan,Private room,30,118.0
Manhattan,Private room,30,97.0
Brooklyn,Entire home/apt,30,200.0
Manhattan,Entire home/apt,30,133.0
Bronx,Private room,30,82.0
Brooklyn,Entire home/apt,30,238.0
Manhattan,Entire home/apt,3,250.0
Manhattan,Entire home/apt,31,660.0
Brooklyn,Private room,30,80.0
Manhattan,Private room,30,150.0
Bronx,Private room,30,80.0
Brooklyn,Entire home/apt,30,300.0
Staten Island,Private room,30,96.0
Manhattan,Entire home/apt,30,299.0
Manhattan,Entire home/apt,31,386.0
Brooklyn,Private room,3,242.0
Manhattan,Private room,30,90.0
Brooklyn,Entire home/apt,30,145.0
Staten Island,Private room,30,135.0
Bronx,Private room,30,153.0
Brooklyn,Entire home/apt,30,123.0
Manhattan,Entire home/apt,30,151.0
Brooklyn,Entire home/apt,30,150.0
Brooklyn,Entire home/apt,30,197.0
Brooklyn,Entire home/apt,45,155.0
Brooklyn,Entire home/apt,30,203.0
Brooklyn,Private room,30,54.0
Brooklyn,Entire home/apt,2,251.0
Queens,Private room,30,86.0
Brooklyn,Entire home/apt,30,255.0
Brooklyn,Private room,2,261.0
Brooklyn,Entire home/apt,30,270.0
Brooklyn,Entire home/apt,30,200.0
Brooklyn,Entire home/apt,30,99.0
Manhattan,Entire home/apt,1,156.0
Brooklyn,Private room,30,86.0
Brooklyn,Entire home/apt,30,192.0
Queens,Entire home/apt,1,131.0
Manhattan,Entire home/apt,59,130.0
Brooklyn,Entire home/apt,3,256.0
Brooklyn,Entire home/apt,30,189.0
Manhattan,Entire home/apt,30,179.0
Brooklyn,Private room,30,58.0
Queens,Private room,30,82.0
Queens,Private room,30,67.0
Brooklyn,Private room,30,80.0
Manhattan,Entire home/apt,30,74.0
Manhattan,Private room,30,101.0
Manhattan,Entire home/apt,30,163.0
Brooklyn,Entire home/apt,30,108.0
Queens,Private room,30,82.0
Manhattan,Entire home/apt,30,304.0
Manhattan,Entire home/apt,1,209.0
Brooklyn,Entire home/apt,30,225.0
Brooklyn,Private room,30,99.0
Brooklyn,Private room,30,90.0
Manhattan,Entire home/apt,30,111.0
Brooklyn,Entire home/apt,30,429.0
Manhattan,Entire home/apt,30,113.0
Manhattan,Entire home/apt,30,272.0
Brooklyn,Entire home/apt,30,97.0
Manhattan,Private room,30,97.0
Manhattan,Private room,60,133.0
Queens,Entire home/apt,30,156.0
Brooklyn,Entire home/apt,30,184.0
Queens,Private room,30,50.0
Brooklyn,Private room,30,60.0
Brooklyn,Entire home/apt,30,425.0
Queens,Entire home/apt,30,96.0
Brooklyn,Private room,1,89.0
Manhattan,Entire home/apt,30,121.0
Queens,Private room,4,180.0
Brooklyn,Entire home/apt,30,182.0
Queens,Entire home/apt,30,151.0
Brooklyn,Entire home/apt,30,306.0
Manhattan,Entire home/apt,30,275.0
Manhattan,Entire home/apt,30,206.0
Brooklyn,Private room,30,62.0
Queens,Entire home/apt,30,250.0
Queens,Entire home/apt,30,77.0
Manhattan,Private room,30,131.0
Bronx,Entire home/apt,30,139.0
Queens,Entire home/apt,30,135.0
Brooklyn,Entire home/apt,30,152.0
Manhattan,Entire home/apt,30,899.0
Brooklyn,Private room,30,155.0
Queens,Private room,3,141.0
Bronx,Entire home/apt,30,140.0
Brooklyn,Private room,1,224.0
Manhattan,Entire home/apt,1,274.0
Manhattan,Entire home/apt,1,277.0
Brooklyn,Entire home/apt,30,405.0
Brooklyn,Entire home/apt,30,243.0
Brooklyn,Private room,2,118.0
Brooklyn,Entire home/apt,60,110.0
Manhattan,Entire home/apt,7,650.0
Brooklyn,Private room,1,75.0
Manhattan,Entire home/apt,7,380.0
Manhattan,Entire home/apt,7,605.0
Brooklyn,Private room,4,143.0
Manhattan,Private room,30,98.0
Manhattan,Private room,30,107.0
Brooklyn,Private room,30,65.0
Manhattan,Private room,1,963.0
Queens,Entire home/apt,30,399.0
Brooklyn,Entire home/apt,30,249.0
Manhattan,Entire home/apt,30,225.0
Bronx,Private room,30,60.0
Brooklyn,Entire home/apt,30,89.0
Manhattan,Entire home/apt,60,152.0
Manhattan,Private room,30,135.0
Brooklyn,Private room,3,125.0
Manhattan,Entire home/apt,2,331.0
Manhattan,Entire home/apt,2,270.0
Manhattan,Entire home/apt,2,270.0
Brooklyn,Entire home/apt,30,151.0
Brooklyn,Entire home/apt,30,75.0
Manhattan,Private room,30,80.0
Brooklyn,Entire home/apt,30,225.0
Manhattan,Private room,30,83.0
Brooklyn,Entire home/apt,3,225.0
Manhattan,Entire home/apt,30,195.0
Manhattan,Entire home/apt,30,192.0
Queens,Entire home/apt,30,100.0
Manhattan,Entire home/apt,1,239.0
Manhattan,Entire home/apt,30,142.0
Brooklyn,Entire home/apt,30,100.0
Staten Island,Private room,30,94.0
Manhattan,Entire home/apt,30,333.0
Brooklyn,Entire home/apt,30,269.0
Queens,Entire home/apt,30,105.0
Brooklyn,Entire home/apt,30,195.0
Queens,Private room,30,87.0
Brooklyn,Private room,30,70.0
Brooklyn,Private room,30,70.0
Queens,Entire home/apt,90,169.0
Queens,Private room,30,108.0
Manhattan,Private room,30,99.0
Manhattan,Entire home/apt,30,211.0
Brooklyn,Entire home/apt,30,300.0
Brooklyn,Private room,4,71.0
Manhattan,Entire home/apt,30,200.0
Queens,Private room,30,140.0
Staten Island,Private room,30,55.0
Brooklyn,Entire home/apt,30,86.0
Queens,Entire home/apt,30,150.0
Brooklyn,Entire home/apt,30,185.0
Queens,Entire home/apt,30,115.0
Manhattan,Entire home/apt,30,120.0
Queens,Entire home/apt,30,90.0
Bronx,Private room,1,64.0
Brooklyn,Entire home/apt,30,400.0
Manhattan,Entire home/apt,30,259.0
Manhattan,Private room,30,161.0
Manhattan,Private room,30,81.0
Brooklyn,Private room,30,297.0
Queens,Private room,1,65.0
Brooklyn,Entire home/apt,30,95.0
Brooklyn,Private room,2,147.0
Brooklyn,Private room,30,210.0
Brooklyn,Private room,30,78.0
Brooklyn,Entire home/apt,2,153.0
Brooklyn,Entire home/apt,30,174.0
Brooklyn,Private room,7,105.0
Brooklyn,Entire home/apt,30,362.0
Manhattan,Private room,30,120.0
Brooklyn,Entire home/apt,30,289.0
Manhattan,Entire home/apt,31,455.0
Staten Island,Entire home/apt,30,131.0
Brooklyn,Entire home/apt,30,223.0
Brooklyn,Entire home/apt,30,128.0
Brooklyn,Private room,30,94.0
Manhattan,Entire home/apt,30,323.0
Manhattan,Entire home/apt,30,92.0
Manhattan,Entire home/apt,30,98.0
Brooklyn,Entire home/apt,30,116.0
Manhattan,Entire home/apt,1,274.0
Brooklyn,Entire home/apt,30,119.0
Manhattan,Entire home/apt,1,274.0
Manhattan,Entire home/apt,30,150.0
Brooklyn,Entire home/apt,5,210.0
Queens,Entire home/apt,30,204.0
Manhattan,Entire home/apt,30,114.0
Manhattan,Entire home/apt,1,706.0
Brooklyn,Private room,30,125.0
Brooklyn,Entire home/apt,30,126.0
Queens,Private room,30,125.0
Brooklyn,Private room,30,71.0
Manhattan,Entire home/apt,31,502.0
Brooklyn,Entire home/apt,30,300.0
Queens,Entire home/apt,30,213.0
Manhattan,Private room,1,235.0
Brooklyn,Private room,30,51.0
Manhattan,Entire home/apt,30,842.0
Manhattan,Entire home/apt,2,341.0
Manhattan,Entire home/apt,30,268.0
Queens,Private room,30,89.0
Brooklyn,Private room,3,145.0
Brooklyn,Private room,1,105.0
Queens,Entire home/apt,30,150.0
Brooklyn,Entire home/apt,30,278.0
Manhattan,Entire home/apt,30,355.0
Manhattan,Entire home/apt,30,767.0
Brooklyn,Entire home/apt,30,576.0
Queens,Entire home/apt,30,109.0
Queens,Private room,30,53.0
Manhattan,Entire home/apt,31,326.0
Manhattan,Entire home/apt,31,243.0
Manhattan,Entire home/apt,31,615.0
Manhattan,Entire home/apt,31,243.0
Queens,Entire home/apt,2,144.0
Manhattan,Entire home/apt,30,127.0
Queens,Entire home/apt,30,119.0
Manhattan,Entire home/apt,30,150.0
Manhattan,Private room,30,162.0
Brooklyn,Entire home/apt,30,540.0
Manhattan,Entire home/apt,30,408.0
Brooklyn,Private room,3,105.0
Manhattan,Entire home/apt,30,97.0
Manhattan,Entire home/apt,30,65.0
Brooklyn,Entire home/apt,30,196.0
Brooklyn,Entire home/apt,30,135.0
Manhattan,Entire home/apt,30,260.0
Manhattan,Entire home/apt,30,245.0
Brooklyn,Private room,4,185.0
Brooklyn,Private room,30,91.0
Brooklyn,Entire home/apt,30,176.0
Brooklyn,Entire home/apt,30,148.0
Manhattan,Entire home/apt,30,95.0
Manhattan,Entire home/apt,30,80.0
Manhattan,Entire home/apt,31,413.0
Manhattan,Entire home/apt,31,410.0
Manhattan,Entire home/apt,31,432.0
Manhattan,Entire home/apt,31,552.0
Brooklyn,Entire home/apt,30,130.0
Brooklyn,Entire home/apt,30,90.0
Manhattan,Entire home/apt,30,133.0
Queens,Entire home/apt,30,116.0
Manhattan,Entire home/apt,4,179.0
Brooklyn,Private room,30,200.0
Manhattan,Entire home/apt,30,105.0
Brooklyn,Entire home/apt,30,80.0
Brooklyn,Private room,30,120.0
Brooklyn,Entire home/apt,30,135.0
Manhattan,Entire home/apt,30,117.0
Brooklyn,Entire home/apt,30,260.0
Queens,Private room,30,475.0
Manhattan,Private room,30,65.0
Manhattan,Entire home/apt,30,161.0
Brooklyn,Private room,30,60.0
Manhattan,Entire home/apt,30,171.0
Brooklyn,Private room,30,60.0
Manhattan,Entire home/apt,31,292.0
Brooklyn,Entire home/apt,30,160.0
Brooklyn,Entire home/apt,4,495.0
Brooklyn,Entire home/apt,30,285.0
Manhattan,Entire home/apt,30,147.0
Brooklyn,Entire home/apt,30,174.0
Manhattan,Entire home/apt,30,198.0
Brooklyn,Private room,30,100.0
Manhattan,Private room,30,75.0
Queens,Private room,3,82.0
Manhattan,Private room,2,111.0
Manhattan,Private room,30,65.0
Manhattan,Entire home/apt,30,94.0
Brooklyn,Entire home/apt,30,80.0
Manhattan,Entire home/apt,30,105.0
Brooklyn,Private room,30,143.0
Brooklyn,Entire home/apt,30,125.0
Brooklyn,Entire home/apt,30,200.0
Manhattan,Entire home/apt,30,273.0
Manhattan,Private room,30,90.0
Brooklyn,Entire home/apt,30,99.0
Manhattan,Entire home/apt,30,366.0
Brooklyn,Private room,2,80.0
Queens,Entire home/apt,30,89.0
Staten Island,Entire home/apt,30,150.0
Brooklyn,Private room,30,55.0
Brooklyn,Private room,30,60.0
Manhattan,Entire home/apt,30,115.0
Queens,Entire home/apt,4,165.0
Manhattan,Private room,30,159.0
Brooklyn,Entire home/apt,30,560.0
Brooklyn,Entire home/apt,30,99.0
Brooklyn,Entire home/apt,32,105.0
Bronx,Entire home/apt,30,110.0
Queens,Entire home/apt,30,165.0
Manhattan,Entire home/apt,7,344.0
Manhattan,Private room,30,181.0
Manhattan,Entire home/apt,30,137.0
Brooklyn,Entire home/apt,30,493.0
Bronx,Entire home/apt,30,125.0
Manhattan,Entire home/apt,30,95.0
Queens,Entire home/apt,30,172.0
Queens,Entire home/apt,30,165.0
Queens,Entire home/apt,30,151.0
Manhattan,Entire home/apt,30,122.0
Queens,Entire home/apt,30,200.0
Brooklyn,Entire home/apt,30,149.0
Brooklyn,Private room,5,105.0
Staten Island,Private room,30,51.0
Manhattan,Entire home/apt,30,231.0
Brooklyn,Entire home/apt,30,229.0
Brooklyn,Entire home/apt,30,288.0
Manhattan,Private room,30,90.0
Bronx,Entire home/apt,30,71.0
Manhattan,Private room,30,65.0
Manhattan,Private room,30,60.0
Manhattan,Entire home/apt,30,290.0
Queens,Entire home/apt,30,96.0
Brooklyn,Entire home/apt,30,146.0
Brooklyn,Private room,30,67.0
Queens,Entire home/apt,30,150.0
Queens,Entire home/apt,30,55.0
Brooklyn,Entire home/apt,30,126.0
Manhattan,Entire home/apt,30,207.0
